ID_Veiculo,Marca,Modelo,Ano,Regiao,Tipo_Veiculo,Capacidade_Bateria_kWh,Saude_Bateria_%,Autonomia_km,Potencia_Carga_kW,Tempo_Carga_hr,Ciclos_Carga,Consumo_Energia_kWh_por_100km,Quilometragem_km,Velocidade_Media_kmh,Velocidade_Max_kmh,Aceleracao_0_100_kmh_seg,Temperatura_C,Tipo_Uso,CO2_Economizado_ton,Custo_Manutencao_USD,Custo_Seguro_USD,Custo_Eletricidade_USD_por_kWh,Custo_Mensal_Carga_USD,Valor_Revenda_USD
1,Ford,Mustang Mach-E,2021,Ásia,Hatchback,59.4,69.7,368.0,50.0,1.3,421,18.2,50810.0,61.6,166.0,6.9,20.2,Pessoal,8.32,200.0,1045.93,0.12,18.53,13666.55
2,Audi,Q4 e-tron,2022,Ásia,SUV,70.3,82.0,388.0,7.4,10.7,10,16.3,27369.0,72.1,191.3,4.2,22.6,Pessoal,5.57,864.03,1219.84,0.28,48.47,22013.08
3,Volkswagen,ID.3,2023,Ásia,Hatchback,49.5,97.4,320.0,150.0,0.4,158,16.9,500.0,74.9,210.1,2.0,34.0,Pessoal,0.08,200.0,888.88,0.18,28.26,22646.16
4,Hyundai,Kona Electric,2019,América do Norte,Sedã,57.3,75.8,318.0,250.0,0.3,708,15.4,140203.0,66.8,160.1,6.4,20.0,Pessoal,30.21,200.0,1302.82,0.28,44.54,7285.74
5,Ford,F-150 Lightning,2021,América do Norte,SUV,112.8,93.4,630.0,150.0,0.8,297,20.8,68432.0,61.1,155.3,7.6,12.5,Comercial,15.44,812.62,910.25,0.15,57.05,32500.01
6,Toyota,Prius Prime,2023,Ásia,SUV,49.7,96.1,249.0,150.0,0.3,228,18.1,13300.0,67.0,152.0,8.6,17.2,Frota,2.16,943.57,1027.47,0.28,35.87,20790.27
7,BMW,iX,2021,Europa,Hatchback,63.4,86.8,335.0,11.0,7.0,10,18.7,69211.0,54.0,132.2,9.8,12.2,Pessoal,17.83,402.22,901.88,0.22,36.82,15650.45
8,Ford,F-150 Lightning,2022,América do Norte,Sedã,55.9,75.6,264.0,11.0,5.5,264,16.2,24025.0,61.8,189.7,6.1,36.8,Comercial,3.61,1128.15,488.88,0.22,24.09,16483.35
9,Volkswagen,ID.4,2022,Ásia,SUV,44.2,86.0,213.0,22.0,2.3,426,22.0,35292.0,70.0,157.6,3.0,21.7,Pessoal,6.15,1255.85,400.0,0.18,19.52,14144.0
10,Hyundai,Kona Electric,2020,Europa,Crossover,73.4,98.7,431.0,250.0,0.4,567,18.7,500.0,79.8,171.6,5.7,23.8,Pessoal,0.09,1041.78,630.49,0.35,77.55,21656.21
11,Audi,e-tron,2021,Ásia,Hatchback,65.7,99.3,352.0,150.0,0.4,673,12.0,51418.0,51.3,125.3,12.5,31.5,Pessoal,9.1,791.98,1656.44,0.12,12.07,19275.92
12,Volkswagen,ID.3,2021,Ásia,Crossover,83.2,88.7,440.0,150.0,0.6,309,19.4,37967.0,62.3,148.3,11.1,9.5,Frota,8.46,891.88,1230.06,0.28,68.08,23692.79
13,Volkswagen,ID.3,2018,América do Norte,Sedã,81.2,79.2,417.0,7.4,13.5,733,17.2,100903.0,49.9,128.7,8.1,3.7,Comercial,19.49,833.86,1007.94,0.18,36.94,9675.1
14,BMW,i3,2018,América do Norte,Sedã,83.0,100.0,441.0,100.0,0.8,1293,17.5,175494.0,58.3,159.6,5.9,17.8,Comercial,27.21,864.19,784.16,0.22,46.44,9479.92
15,Chevrolet,Bolt EUV,2023,Ásia,Crossover,46.6,93.6,283.0,250.0,0.3,192,21.0,14849.0,80.0,191.0,6.8,3.8,Comercial,2.72,492.76,1704.43,0.35,45.53,19807.79
16,Hyundai,Kona Electric,2020,Ásia,Sedã,77.8,79.7,434.0,100.0,0.7,1173,18.3,44750.0,57.0,178.5,11.3,13.9,Comercial,8.95,688.22,943.33,0.12,23.41,17538.29
17,Nissan,Leaf,2021,Ásia,Hatchback,78.3,89.7,384.0,250.0,0.4,420,23.1,33840.0,63.6,182.5,7.5,-3.8,Frota,6.62,817.87,861.96,0.12,32.38,21735.23
18,Volkswagen,ID.3,2020,Ásia,SUV,44.6,89.4,268.0,250.0,0.3,586,18.3,12795.0,46.4,105.4,6.0,4.5,Comercial,2.77,901.14,443.26,0.15,12.11,11338.02
19,Chevrolet,Bolt EUV,2023,Ásia,Sedã,58.6,81.9,373.0,50.0,1.3,102,16.6,18369.0,56.6,140.2,10.3,30.2,Frota,3.36,976.86,400.0,0.35,56.24,22628.7
20,Nissan,Ariya,2020,Oceania,SUV,35.9,89.8,206.0,22.0,1.9,478,12.6,77814.0,41.8,111.1,2.1,22.0,Pessoal,15.87,500.47,1384.55,0.22,16.44,7276.95
21,Hyundai,Ioniq 5,2021,Europa,SUV,78.4,95.8,466.0,100.0,0.8,615,15.8,46635.0,69.2,155.8,4.5,36.0,Pessoal,8.2,748.17,1874.53,0.12,24.01,23762.13
22,Tesla,Model S,2023,Europa,SUV,78.3,84.6,478.0,50.0,1.4,133,17.0,22666.0,70.5,132.6,5.0,17.7,Pessoal,3.64,719.47,1318.56,0.15,43.08,29443.35
23,Toyota,Prius Prime,2023,Europa,SUV,93.6,96.7,437.0,7.4,13.6,79,22.4,22745.0,70.1,215.8,9.5,17.3,Pessoal,3.32,1387.85,1313.27,0.15,24.87,38917.26
24,Chevrolet,Bolt EUV,2020,América do Norte,Crossover,60.4,73.0,389.0,22.0,3.0,433,16.6,62328.0,71.0,153.9,5.6,20.2,Pessoal,14.15,874.93,1918.57,0.22,27.11,12358.98
25,Kia,Niro EV,2023,Europa,SUV,74.0,100.0,448.0,22.0,3.7,127,22.9,19879.0,70.1,193.2,2.6,45.0,Pessoal,2.68,1002.13,1400.34,0.12,31.9,32760.83
26,Tesla,Model X,2021,América do Norte,Hatchback,84.8,87.5,487.0,150.0,0.6,251,14.6,99317.0,42.1,114.1,5.3,28.5,Comercial,18.63,1098.94,1196.9,0.35,73.81,21703.19
27,Toyota,bZ4X,2021,América do Sul,Caminhonete,49.9,95.6,271.0,250.0,0.3,308,15.7,24449.0,53.2,120.0,5.8,9.6,Pessoal,4.7,1056.15,1423.8,0.12,12.91,16163.92
28,BMW,i4,2019,Europa,Hatchback,46.9,88.7,227.0,250.0,0.3,333,21.4,107215.0,31.3,96.7,6.8,22.1,Pessoal,16.14,200.0,1561.15,0.28,42.97,8218.53
29,Ford,Mustang Mach-E,2019,Europa,SUV,50.5,80.4,269.0,11.0,5.2,525,16.2,78618.0,58.0,146.1,7.3,19.5,Pessoal,16.28,746.53,1403.79,0.12,11.56,8077.53
30,Audi,Q4 e-tron,2022,Europa,Hatchback,58.0,86.7,332.0,250.0,0.3,422,21.3,47429.0,51.9,131.9,9.4,25.2,Frota,6.62,1003.4,1005.76,0.15,25.07,16848.08
31,Kia,EV6,2021,América do Norte,Hatchback,47.6,71.7,236.0,250.0,0.3,409,15.5,25163.0,64.4,131.3,6.2,36.7,Pessoal,4.09,839.04,1362.6,0.18,18.97,11387.58
32,BMW,i4,2021,América do Norte,Hatchback,51.4,92.5,281.0,250.0,0.3,892,15.8,50007.0,101.9,190.2,5.5,23.9,Pessoal,10.45,299.61,922.82,0.22,22.69,13400.49
33,Hyundai,Ioniq 5,2022,Europa,Caminhonete,82.6,88.6,405.0,150.0,0.6,164,19.9,18673.0,76.7,186.2,7.1,14.3,Comercial,2.63,486.97,1187.59,0.18,43.06,27432.79
34,BMW,i4,2022,América do Norte,Crossover,63.1,85.5,335.0,7.4,10.3,331,15.6,550.0,87.9,254.0,7.6,36.6,Comercial,0.11,533.65,1358.9,0.12,17.86,20843.27
35,Ford,Mustang Mach-E,2019,Ásia,Hatchback,71.1,93.0,343.0,250.0,0.3,740,17.2,133516.0,77.3,150.1,5.5,4.9,Pessoal,28.5,898.47,1935.52,0.35,47.32,11121.09
36,Hyundai,Kona Electric,2022,América do Sul,Sedã,54.0,87.3,258.0,150.0,0.4,353,19.2,22759.0,63.5,161.5,2.7,15.3,Pessoal,4.83,870.24,1375.47,0.35,45.94,18944.81
37,Kia,EV6,2019,América do Sul,Hatchback,52.7,91.9,299.0,22.0,2.6,464,17.2,39897.0,64.9,163.8,5.8,27.0,Pessoal,7.63,1257.15,1206.56,0.15,17.44,10415.35
38,Ford,Mustang Mach-E,2022,Ásia,SUV,70.7,94.7,368.0,150.0,0.5,217,16.3,20385.0,78.0,224.0,9.0,10.1,Frota,3.16,803.79,1039.81,0.18,22.18,28046.56
39,Nissan,Ariya,2022,América do Norte,Crossover,67.5,82.6,355.0,250.0,0.3,320,14.4,60407.0,68.7,192.7,6.8,17.5,Pessoal,9.08,861.07,966.4,0.22,25.92,19348.7
40,Audi,e-tron,2023,América do Sul,SUV,80.6,80.3,418.0,50.0,1.7,99,22.3,25921.0,60.7,154.3,10.1,11.0,Pessoal,4.27,398.91,1045.3,0.28,62.91,24663.49
41,Kia,EV6,2018,América do Sul,Sedã,91.0,73.2,624.0,150.0,0.6,90,22.9,79090.0,86.4,213.6,8.3,17.6,Pessoal,6.96,753.25,1216.08,0.18,65.74,9794.68
42,Nissan,Ariya,2018,América do Norte,Caminhonete,51.2,88.0,297.0,100.0,0.5,1324,19.0,133069.0,71.7,163.8,5.7,11.0,Pessoal,24.05,1482.02,1566.33,0.35,48.3,6204.81
43,Toyota,bZ4X,2020,Ásia,Hatchback,82.2,90.6,481.0,7.4,11.5,770,17.3,24154.0,43.6,94.0,10.7,18.8,Comercial,4.26,902.63,690.26,0.28,37.8,19036.68
44,Kia,Niro EV,2020,América do Norte,Sedã,43.4,76.4,222.0,7.4,5.5,422,17.5,77451.0,62.3,144.0,4.8,14.7,Pessoal,14.12,632.03,1506.44,0.35,40.73,7926.53
45,Toyota,Prius Prime,2020,Ásia,Sedã,106.5,98.4,613.0,22.0,4.7,591,20.5,45648.0,65.8,142.7,2.8,31.3,Pessoal,7.89,924.66,973.9,0.12,24.86,28545.31
46,Hyundai,Kona Electric,2023,Oceania,Crossover,49.3,80.4,266.0,150.0,0.4,200,21.1,18634.0,58.9,145.4,7.9,21.9,Pessoal,3.45,1112.58,919.58,0.12,17.47,16901.15
47,Nissan,Ariya,2020,América do Norte,Sedã,78.8,70.2,403.0,22.0,4.0,891,16.4,14207.0,59.2,147.4,5.0,25.4,Pessoal,2.59,949.34,1404.28,0.22,30.96,15049.41
48,Audi,e-tron,2020,América do Sul,Crossover,43.3,99.0,280.0,22.0,2.3,561,21.2,40162.0,58.7,141.9,6.9,19.4,Pessoal,5.47,1049.47,1049.97,0.28,42.77,12066.08
49,Ford,F-150 Lightning,2022,Ásia,SUV,62.0,71.2,359.0,50.0,1.3,188,19.8,33032.0,38.2,96.8,4.3,13.7,Comercial,6.22,1087.8,1390.57,0.28,47.53,16140.93
